userName,score,at,content;;;;;;;
"Pengguna Google,3,2021-10-22 23:48:29,""Setelah pakai gopay.gopay coin gk bisa di pakai nyesel gue pakai gopay,enak ovo,ovo poin bisa dipakai.""";;;;;;;
Pengguna Google,5,2021-10-22 23:47:44,Bgs sekali ni aplikasih;;;;;;;
Pengguna Google,5,2021-10-22 23:47:28,Efisien Berbelanja;;;;;;;
Pengguna Google,2,2021-10-22 23:45:33,Dari pada di ganti ke gopay poin (1=1) mending tokped poin (1=10) cuma buat kolaborasi aja sampe bgitu payah dah ah percuma ambil cashback mending sekalian ke apl shopback 😑😒 tokped menurun kek shopee;;;;;;;
Pengguna Google,1,2021-10-22 23:45:21,proses kirim barang ke lamaan.. banyak penjual gak bener. udah waktunya pake aplikasi sh$$y... d sini udah gk betah ..;;;;;;;
Pengguna Google,5,2021-10-22 23:45:08,pembelian mudah;;;;;;;
Pengguna Google,5,2021-10-22 23:45:03,best;;;;;;;
Pengguna Google,5,2021-10-22 23:44:07,👍👍👍;;;;;;;
Pengguna Google,5,2021-10-22 23:42:45,good;;;;;;;
Pengguna Google,5,2021-10-22 23:40:35,Bagus;;;;;;;
Pengguna Google,5,2021-10-22 23:34:27,praktis....;;;;;;;
Pengguna Google,4,2021-10-22 23:25:37,👌;;;;;;;
Pengguna Google,5,2021-10-22 23:24:40,Solusi cerdas belanja barang impian anda;;;;;;;
Pengguna Google,1,2021-10-22 23:23:59,Ga jlaa;;;;;;;
Pengguna Google,5,2021-10-22 23:21:57,Mantap Promonya;;;;;;;
Pengguna Google,5,2021-10-22 23:16:47,good👍👍;;;;;;;
Pengguna Google,5,2021-10-22 23:15:53,Langganan sih;;;;;;;
Pengguna Google,5,2021-10-22 23:00:50,mantap;;;;;;;
Pengguna Google,5,2021-10-22 22:57:36,Tokopedia top markotop deh... mantul;;;;;;;
Pengguna Google,5,2021-10-22 22:56:43,T o p b g t;;;;;;;
Pengguna Google,5,2021-10-22 22:55:48,Referensi cerdas cari kebutuhan;;;;;;;
Pengguna Google,5,2021-10-22 22:54:26,Biar di baca. Kalau ongkir tuh jangan mahal mahal.;;;;;;;
Pengguna Google,5,2021-10-22 22:54:13,wkwkkwk maksih;;;;;;;
Pengguna Google,5,2021-10-22 22:52:16,keren;;;;;;;
Pengguna Google,5,2021-10-22 22:49:47,belanja aman.nyaman.mudah.di tokopedia aja;;;;;;;
Pengguna Google,5,2021-10-22 22:48:55,Sangat membantu;;;;;;;
Pengguna Google,5,2021-10-22 22:47:35,Good;;;;;;;
Pengguna Google,5,2021-10-22 22:47:13,Baru install;;;;;;;
Pengguna Google,5,2021-10-22 22:46:38,Lebih Praktis;;;;;;;
Pengguna Google,5,2021-10-22 22:46:28,Oke mantap;;;;;;;
Pengguna Google,5,2021-10-22 22:44:52,mantab;;;;;;;
